"Time (s)","Linear Acceleration x (m/s2)","Linear Acceleration y (m/s2)","Linear Acceleration z (m/s2)","Absolute acceleration (m/s2)"
5.246916669E-3,7.106472929E-3,2.391807217E-2,6.536719322E-2,6.996746446E-2
1.520891662E-2,-1.382606346E-2,2.306434214E-2,-4.539193511E-3,2.727138037E-2
2.517191658E-2,7.593141713E-3,-4.794479292E-3,6.641033649E-2,6.701474186E-2
3.513391665E-2,-1.204156862E-2,2.873084228E-3,3.240526915E-3,1.279667936E-2
4.509691661E-2,1.157833895E-2,-5.004248153E-3,1.192130327E-2,1.735563033E-2
5.505891668E-2,-9.682794975E-3,-1.202997012E-2,-2.265737593E-2,2.741958030E-2
6.502091663E-2,5.268069499E-3,-1.311495753E-2,1.626286089E-2,2.154612057E-2
7.498391659E-2,3.125464674E-3,-5.672164634E-4,-3.514176607E-4,3.195897107E-3
8.494591666E-2,7.667664019E-4,-1.213671835E-2,3.168255329E-2,3.393629394E-2
9.490891662E-2,1.408340719E-3,-2.290827630E-2,2.958749592E-2,3.744586041E-2
1.048709166E-1,1.164093842E-2,-4.310110565E-3,2.554473102E-2,2.840108771E-2
1.148339167E-1,-1.542084357E-3,1.058177926E-2,5.484103560E-3,1.201779798E-2
1.247959166E-1,1.588817314E-2,8.165161572E-3,1.252005816E-2,2.181411849E-2
1.347589167E-1,9.023057744E-3,9.451183565E-3,7.731773257E-3,1.518291011E-2
1.447209166E-1,1.568096472E-2,6.349930018E-3,2.299826860E-2,2.855056260E-2
1.546839166E-1,2.881839292E-2,5.254892707E-3,2.794033527E-2,4.048179842E-2
1.646459167E-1,1.178965641E-2,-3.357891496E-3,7.734112144E-3,1.449441010E-2
1.746089166E-1,4.855308607E-3,-1.770938896E-3,2.104997635E-2,2.167514130E-2
1.845709166E-1,7.596003651E-3,4.158210866E-3,2.119732618E-2,2.289796118E-2
1.945339167E-1,-3.439535529E-3,7.882759329E-3,2.778421462E-2,2.908489094E-2
2.044959166E-1,-3.772495631E-3,9.602352362E-3,1.925488114E-2,2.184461815E-2
2.144579167E-1,-2.305991105E-3,3.186641168E-3,1.685986161E-2,1.731263153E-2
2.244209166E-1,-3.767488953E-3,7.241100501E-3,1.790768266E-2,1.968025934E-2
2.343829166E-1,-1.047964713E-2,-7.034858242E-3,2.344382644E-2,2.662564990E-2
2.443459167E-1,-1.327517124E-2,-1.676440582E-2,1.505774975E-2,2.615360972E-2
2.543079166E-1,-7.107955290E-3,-2.602975756E-2,3.528794646E-3,2.721256509E-2
2.642709166E-1,6.420258775E-3,-1.759301109E-2,3.847467899E-4,1.873183899E-2
2.742329167E-1,-3.115378227E-4,-2.564605230E-2,3.080313206E-3,2.583225472E-2
2.841959166E-1,9.292417956E-3,-1.427500857E-2,-5.104619265E-4,1.704070047E-2
2.941579167E-1,6.956062443E-3,-6.298017707E-3,2.194050729E-2,2.386289362E-2
3.041209166E-1,1.146227857E-3,7.678472232E-3,1.699785590E-2,1.868689058E-2
