"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.402374965E-3,-5.890397797E-2,4.813937729E-2,-9.034474432E-2,1.181069477E-1
1.436537493E-2,2.691497119E-2,1.837396156E-3,1.937621087E-1,1.956311490E-1
2.432737499E-2,-5.798253901E-2,4.028435569E-2,-1.021777546E-1,1.241978168E-1
3.429037496E-2,1.437693742E-2,-5.152127892E-4,1.091897357E-1,1.101333743E-1
4.425237491E-2,-3.326688378E-2,1.694764294E-2,-4.350036085E-2,5.732529591E-2
5.421537498E-2,-5.507241176E-3,1.497746017E-3,2.940389335E-2,2.995266086E-2
6.417737494E-2,-1.713256570E-2,2.987196296E-4,1.532847583E-2,2.299078538E-2
7.414037501E-2,-2.253496356E-2,4.391734041E-3,-3.257074535E-2,3.984928309E-2
8.410237497E-2,5.020711720E-3,-2.316058366E-2,6.487310350E-2,6.906619824E-2
9.406537493E-2,-2.250408295E-2,4.384827018E-3,-3.392145216E-2,4.094295268E-2
1.040273750E-1,-8.594493382E-4,-1.296035349E-2,4.781151295E-2,4.954442639E-2
1.139903750E-1,-1.288296468E-2,-1.309209857E-3,-1.431164503E-2,1.930046613E-2
1.239523749E-1,7.014954868E-3,-1.082356162E-2,2.400983691E-2,2.725493252E-2
1.339153750E-1,-2.065533954E-2,-9.476436228E-3,2.206505299E-2,3.167510787E-2
1.438783749E-1,-1.406280489E-2,-4.395278916E-3,1.757789969E-2,2.293607455E-2
1.538403749E-1,-4.134346917E-3,-7.436635047E-3,2.506408989E-2,2.646894345E-2
1.638033750E-1,-1.651314456E-2,9.074348789E-3,4.709347486E-3,1.942178424E-2
1.737653749E-1,-3.184955525E-3,1.149747150E-2,2.207674742E-2,2.509419393E-2
1.837283750E-1,-2.155388300E-2,-2.543008905E-3,1.504079282E-2,2.640572316E-2
1.936903750E-1,-1.245547383E-2,1.371246988E-2,2.686503232E-2,3.263281508E-2
2.036533749E-1,-1.674363906E-2,2.457109652E-4,3.837176800E-2,4.186648304E-2
2.136153750E-1,-7.074428360E-2,3.034883995E-2,-1.710866064E-1,1.876071231E-1
2.235783749E-1,-3.011450364E-2,-9.647576921E-3,1.311840373E-1,1.349415085E-1
2.335403749E-1,2.541821372E-1,-1.086803518E-1,5.591809273E-1,6.237814418E-1
2.435033750E-1,-3.170858802E-1,1.090483244E-1,-7.382138997E-1,8.107988371E-1
2.534653749E-1,9.608077152E-2,-4.293246830E-2,2.999229866E-1,3.178498221E-1
2.634283750E-1,5.519950190E-2,-9.973303378E-3,2.057436383E-1,2.132531277E-1
2.733903750E-1,-1.674989559E-1,8.276867146E-2,-3.988455963E-1,4.404365594E-1
2.833533749E-1,1.783790527E-1,-8.433599934E-2,5.364650792E-1,5.715998849E-1
2.933163750E-1,-1.587648419E-1,-1.159110004E-2,-4.024539131E-1,4.327929999E-1
3.032783750E-1,-2.715218542E-1,-4.618838435E-1,-4.272618949E-2,5.374814690E-1
3.132413749E-1,-7.748383004E-1,-4.418410501E-1,4.887775272E-1,1.017104408E0
3.232033750E-1,-1.848164681E0,5.105589171E-1,-5.077213365E-1,1.983472725E0
3.331663749E-1,-3.087275778E0,1.834113822E0,4.415817261E-1,3.618043623E0
