"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.589582819E-4,3.583526412E-2,-4.712177904E-2,6.799025416E-2,9.015155504E-2
1.072095835E-2,-1.461192696E-1,4.808412110E-2,-3.642891365E-1,3.954358338E-1
2.068295830E-2,1.261824113E-1,-6.364650384E-2,3.652989507E-1,3.916838033E-1
3.064495837E-2,-8.770843579E-2,3.362002820E-2,-1.551856881E-1,1.813992112E-1
4.060695833E-2,4.086251741E-2,-1.971847398E-2,1.304426104E-1,1.381080669E-1
5.056895828E-2,2.241035848E-2,-1.715191176E-2,2.743513584E-2,3.935859402E-2
6.053095835E-2,-2.765177518E-2,3.839665521E-3,-1.357127059E-1,1.385543295E-1
7.049295830E-2,7.434277888E-2,-1.475659987E-2,1.524322343E-1,1.702356956E-1
8.045495837E-2,-1.558706666E-2,5.974118505E-3,-1.186522847E-1,1.198207470E-1
9.041695832E-2,5.840525159E-2,-2.104924545E-2,1.337287456E-1,1.474368392E-1
1.003779583E-1,2.945282495E-3,-7.506381366E-3,-5.368679523E-2,5.428897156E-2
1.103399583E-1,3.107389926E-2,9.254095852E-3,3.613345385E-2,4.854742003E-2
1.203019583E-1,8.171662032E-3,1.061050370E-3,5.143795609E-3,9.713934400E-3
1.302639584E-1,6.233914179E-3,1.239392275E-2,1.712357104E-2,2.203832326E-2
1.402260417E-1,1.132553824E-2,-1.167007400E-2,5.903582811E-2,6.123469151E-2
1.501880416E-1,-4.471912844E-3,1.258611342E-2,8.141663074E-3,1.564272780E-2
1.601500417E-1,1.496936315E-3,-1.027713932E-2,3.658135056E-2,3.802703801E-2
1.701120416E-1,-3.945199769E-3,-1.249803973E-2,1.278025925E-2,1.830575388E-2
1.800740417E-1,-1.486057296E-3,-1.333283940E-2,1.891925097E-2,2.319290904E-2
1.900360417E-1,5.225880467E-3,-2.548037510E-2,-1.371172071E-2,2.940358187E-2
1.999980416E-1,-2.445698446E-3,-1.083457997E-2,1.158625782E-2,1.605026275E-2
2.099600417E-1,3.641492876E-3,-1.374400830E-2,2.251528859E-2,2.662886507E-2
2.199220416E-1,7.296925422E-4,-1.168544121E-2,-1.434322000E-3,1.179573088E-2
2.298840417E-1,1.532212041E-2,-6.150101423E-3,6.503273249E-3,1.774496223E-2
2.398460417E-1,1.110761639E-2,-1.562070871E-2,-1.175758123E-2,2.248613793E-2
2.498080416E-1,2.149019860E-2,-1.347311776E-2,3.629132867E-2,4.427656349E-2
2.597700417E-1,2.436008056E-2,-2.395257074E-3,3.659187555E-3,2.474955424E-2
2.697320416E-1,3.483139312E-2,1.775561851E-3,4.033350885E-2,5.332138879E-2
2.796940417E-1,2.304940205E-2,-1.493780874E-3,1.716742516E-3,2.316146630E-2
2.896560417E-1,1.360967195E-2,-7.200297900E-4,3.240234554E-2,3.515186495E-2
2.996180416E-1,1.505980198E-2,1.728857215E-3,1.714988351E-3,1.525541766E-2
3.095800417E-1,1.154455529E-2,2.311477438E-3,1.982790828E-2,2.306004405E-2
3.195420416E-1,-2.984796882E-3,-1.937968265E-3,4.288172543E-2,4.302914256E-2
3.295040417E-1,-5.354217715E-3,2.442710884E-3,2.237729430E-2,2.313823209E-2
3.394660417E-1,-9.254075296E-4,4.258344434E-3,1.569977403E-3,4.631922437E-3
3.494280416E-1,-9.008951336E-3,-1.280852688E-2,2.468109727E-3,1.585279568E-2
3.593900417E-1,5.627874259E-3,-1.016105382E-2,2.506818295E-2,2.762849579E-2
3.693520416E-1,-1.625146796E-3,1.726573147E-3,2.087572932E-2,2.100995554E-2
3.793140417E-1,2.484884384E-2,-7.769889794E-3,6.507366300E-3,2.683620770E-2
3.892760416E-1,7.731394102E-3,-1.196957935E-2,-1.070683658E-2,1.782362573E-2
3.992380416E-1,9.409391962E-3,-1.247985855E-2,-1.444730043E-2,2.128398497E-2
4.092000417E-1,3.220495404E-2,-8.161854241E-3,3.375305235E-2,4.736077990E-2
4.191620416E-1,3.168129477E-2,-2.040798862E-2,2.746963441E-2,4.663444277E-2
4.291240417E-1,3.139024733E-2,-6.835212372E-3,3.300928652E-2,4.606170592E-2
4.390860416E-1,2.463396551E-2,-6.378289014E-3,2.342862368E-2,3.458923583E-2
4.490480417E-1,1.254750238E-2,2.114353180E-3,9.658430815E-3,1.597484245E-2
4.590100417E-1,2.880094035E-3,-3.687711004E-3,2.477640688E-2,2.521437075E-2
4.689720416E-1,-1.589734596E-4,-5.295439493E-3,2.552368104E-2,2.606770504E-2
