"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.781833406E-3,-6.940490120E-2,-1.209847391E-2,-1.275043845E-2,7.159599892E-2
7.180166664E-3,-3.076882991E-2,5.962990522E-3,6.603267945E-2,7.309304280E-2
1.714216662E-2,1.120529618E-1,2.157797992E-2,1.646698719E-1,2.003438100E-1
2.710516669E-2,1.744445070E-2,-1.555359364E-2,1.240574874E-1,1.262397850E-1
3.706716665E-2,-1.413791420E-2,-4.685607791E-2,-2.998748202E-2,5.739879557E-2
4.702916660E-2,4.918450770E-2,-1.496711791E-2,-9.624224603E-2,1.091132455E-1
5.699116667E-2,-1.713165664E-3,7.078639269E-3,-6.656700533E-2,6.696423127E-2
6.695250003E-2,-1.263726285E-2,2.120785117E-2,-2.153767068E-2,3.276193862E-2
7.691449998E-2,-3.604014507E-2,4.370208979E-3,-7.029467840E-2,7.911594400E-2
8.687749994E-2,-2.080791076E-3,-3.767945766E-3,-4.845295250E-2,4.864376335E-2
9.683950001E-2,8.207974155E-3,5.472409129E-3,-3.091422915E-3,1.033803642E-2
1.068015000E-1,4.707469982E-3,3.024823129E-2,2.857647579E-2,4.187756844E-2
1.167635000E-1,2.264857770E-2,3.175798237E-2,3.429563742E-2,5.193956356E-2
1.267255000E-1,8.650498744E-3,3.874949813E-3,-1.608221848E-2,1.866772926E-2
1.366884999E-1,8.067019712E-3,-4.698822498E-3,-1.704054058E-2,1.943027954E-2
1.466505000E-1,-5.616142826E-2,3.431789339E-2,2.104126765E-1,2.204661386E-1
1.566125000E-1,-4.978222562E-2,8.006416976E-2,-1.409406648E-1,1.695665423E-1
1.665745000E-1,-4.655222826E-2,2.643526196E-2,-3.476699609E-2,6.383319707E-2
1.765365000E-1,-2.809948917E-2,4.999369383E-3,-6.334058482E-2,6.947376967E-2
1.864984999E-1,-7.392213567E-2,-1.040921330E-2,-1.417499926E-1,1.602057872E-1
1.964615000E-1,-5.392214110E-2,1.016772330E-2,-1.773939979E-1,1.856868611E-1
2.064235000E-1,1.069259313E-3,2.811575174E-2,-1.764601976E-1,1.786892278E-1
2.163854999E-1,7.932277936E-3,2.650776744E-2,-1.338322413E-1,1.366625464E-1
2.263475000E-1,-1.626877206E-2,5.491120219E-3,-1.225365901E-1,1.237337515E-1
