"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.652916592E-4,7.724338614E-3,-7.904266119E-3,-1.923112683E-1,1.926285720E-1
9.696708294E-3,2.183656618E-2,-4.328869164E-2,-5.672566630E-2,7.462270207E-2
1.965870825E-2,3.619972381E-3,-4.063171685E-2,9.409624480E-2,1.025580026E-1
2.962070832E-2,-1.355871095E-3,-2.546579361E-2,1.656609750E-1,1.676123613E-1
3.958270827E-2,1.988146969E-3,1.878534973E-2,1.117860456E-1,1.133709049E-1
4.954570835E-2,-1.287055990E-2,2.385079265E-2,1.003919419E-1,1.039858337E-1
5.950770830E-2,-1.463344974E-2,1.097931683E-2,1.355758810E-1,1.368046153E-1
6.946970825E-2,2.582791442E-2,-9.942605495E-3,9.617324889E-2,1.000761229E-1
7.943170832E-2,2.821305078E-2,9.073709249E-3,-3.890254900E-2,4.890518124E-2
8.939370827E-2,1.887065512E-2,2.010155797E-2,-1.150387055E-1,1.182965681E-1
9.935570834E-2,-7.261488098E-3,1.518463433E-2,-6.673193336E-2,6.882189520E-2
1.093177083E-1,6.900477349E-3,4.114451766E-2,-5.145257413E-2,6.624088848E-2
1.192797082E-1,2.164131029E-2,3.928334892E-2,-3.576274037E-2,5.736289229E-2
1.292417083E-1,4.626783888E-2,5.076260269E-2,-2.384202182E-2,7.270486057E-2
1.392037083E-1,5.050860512E-2,1.913442850E-2,2.277899802E-2,5.861849790E-2
1.491667083E-1,4.995163956E-2,-1.208268642E-2,8.145580709E-2,9.631306305E-2
1.591287083E-1,4.817209429E-2,-3.690762520E-3,8.966412842E-2,1.018519922E-1
1.690907083E-1,4.226042679E-2,-9.680650234E-3,-2.160984725E-3,4.340885297E-2
1.790527083E-1,6.507368127E-2,1.105533063E-2,-7.635542706E-2,1.009304492E-1
1.890147083E-1,7.922305693E-2,-1.086295724E-2,-1.924603723E-1,2.084113516E-1
1.989767083E-1,7.520667759E-2,-2.075995445E-2,-2.192694175E-1,2.327361113E-1
2.089387083E-1,1.235025684E-1,-9.827415347E-3,-1.801537375E-1,2.186431605E-1
2.189007082E-1,1.089678338E-1,2.468694448E-3,-1.786412090E-1,2.092672091E-1
2.288627083E-1,-2.040090343E-2,-7.817727327E-4,-5.813718416E-2,6.161769398E-2
2.388247083E-1,2.395898898E-3,-1.535771191E-2,7.051902875E-2,7.221172386E-2
2.487877083E-1,1.916494594E-2,9.073124528E-3,8.578859389E-2,8.837024150E-2
2.587497083E-1,2.046059528E-2,1.487940967E-2,1.072483139E-1,1.101918038E-1
2.687117083E-1,8.058098140E-2,2.002495944E-2,7.322753213E-2,1.107093719E-1
2.786737083E-1,2.015777712E-1,4.782437682E-3,-6.644732013E-2,2.123010031E-1
2.886357083E-1,8.290736010E-2,1.270599961E-2,-2.012267373E-1,2.180075058E-1
2.985977083E-1,7.565079189E-2,2.133941352E-2,-1.418541095E-1,1.621758344E-1
3.085597083E-1,-5.100909024E-2,1.265454412E-2,3.142637216E-2,6.123464412E-2
3.185217083E-1,-7.956691889E-2,1.039810359E-2,9.679773152E-2,1.257331140E-1
3.284837083E-1,-1.519339145E-1,1.662304938E-2,1.022233629E-1,1.838745661E-1
3.384457083E-1,-2.030607165E-1,3.163343668E-4,1.552429178E-1,2.556053954E-1
3.484087083E-1,-2.014125143E-1,-6.386913657E-3,2.099811155E-1,2.910324079E-1
3.583707083E-1,-1.330972646E-1,-3.388461471E-3,2.280957896E-1,2.641099254E-1
3.683327083E-1,-5.533754644E-2,2.246500254E-2,2.059646630E-1,2.144489748E-1
3.782947083E-1,-1.597404727E-2,-4.343311787E-3,1.261631794E-1,1.272445770E-1
3.882567083E-1,-7.193856826E-3,-3.193339884E-2,5.742389694E-2,6.609839240E-2
3.982187083E-1,3.614361567E-2,-1.457418501E-2,-2.932027817E-2,4.876931960E-2
4.081807083E-1,4.009332990E-2,-3.394893408E-3,-8.968985617E-2,9.830193642E-2
4.181427083E-1,7.724847961E-3,5.777049065E-3,-5.061817646E-2,5.152909237E-2
4.281047083E-1,-6.177634500E-2,1.012737751E-3,8.156047225E-2,1.023203454E-1
4.380667083E-1,-6.696277047E-2,5.116898417E-3,1.821922231E-1,1.941756973E-1
4.480287083E-1,-3.415205630E-2,7.480342984E-3,2.897540208E-1,2.918556339E-1
4.579917083E-1,1.123637048E-2,1.775507033E-2,3.090538524E-1,3.097673034E-1
4.679537083E-1,4.319716444E-2,2.550321579E-2,2.544328183E-1,2.593308082E-1
4.779157083E-1,4.542614132E-2,1.078285038E-2,2.004068115E-1,2.057734051E-1
