"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.029125066E-3,-3.497800324E-3,-1.612917986E-3,1.807981580E-1,1.808391829E-1
1.099212503E-2,1.011787727E-2,2.550578490E-2,1.552797407E-1,1.576854920E-1
2.095512510E-2,-1.055873744E-2,-2.738633379E-2,1.629053652E-1,1.655284152E-1
3.091812506E-2,5.272690207E-3,2.061741054E-2,2.120484114E-1,2.131136027E-1
4.088012502E-2,-1.494277269E-3,-1.253765076E-3,1.929759532E-1,1.929858112E-1
5.084312509E-2,-3.103625495E-3,-2.883691341E-4,1.984594017E-1,1.984838779E-1
6.080612505E-2,6.195054855E-3,1.939911768E-2,1.757000834E-1,1.768762951E-1
7.076912501E-2,-5.294620991E-3,-9.433595464E-3,1.876840442E-1,1.879955483E-1
8.073212509E-2,3.135193605E-3,1.487314887E-2,2.525850236E-1,2.530419613E-1
9.069512505E-2,-7.663924247E-3,-1.100452058E-2,2.995629311E-1,2.998629435E-1
1.006581250E-1,7.079120260E-4,1.030692924E-2,3.683688641E-1,3.685137093E-1
1.106201251E-1,-1.391990576E-3,9.849132039E-3,4.608045220E-1,4.609118685E-1
1.205831250E-1,-2.201905940E-3,7.967271842E-3,5.589504838E-1,5.590116002E-1
1.305461250E-1,-3.585684579E-3,1.062759897E-3,6.015200615E-1,6.015316874E-1
1.405091251E-1,5.574737675E-3,2.707886323E-2,6.626831293E-1,6.632595815E-1
1.504721250E-1,-4.612980410E-5,1.173585840E-2,7.193570733E-1,7.194528000E-1
1.604351250E-1,3.323207377E-3,1.792222075E-2,7.665270567E-1,7.667437501E-1
1.703971251E-1,1.531698974E-3,1.386702619E-2,7.348956466E-1,7.350280620E-1
1.803601250E-1,1.916706562E-3,1.557659358E-2,7.427116632E-1,7.428774588E-1
1.903231250E-1,9.816708043E-4,7.416401990E-3,7.779873610E-1,7.780233290E-1
2.002861251E-1,-1.988902688E-3,6.083280314E-3,8.594229817E-1,8.594468125E-1
2.102491250E-1,-1.907675993E-3,6.173560861E-3,1.045545936E0,1.045565902E0
2.202121251E-1,2.300962340E-3,2.892903052E-2,1.236718178E0,1.237058622E0
2.301751251E-1,-8.675256744E-3,3.338449867E-3,1.425952315E0,1.425982612E0
2.401371250E-1,5.505308975E-3,3.465949371E-2,1.663856626E0,1.664226685E0
2.501001251E-1,1.290863007E-2,7.038153708E-2,1.892531633E0,1.893883887E0
2.600631251E-1,-1.675683632E-2,-2.712447196E-3,2.156375885E0,2.156442697E0
2.700261250E-1,2.145073749E-2,1.058220193E-1,2.490153790E0,2.492493597E0
2.799891251E-1,-1.529061422E-2,7.171535864E-3,2.764880657E0,2.764932238E0
2.899521251E-1,-9.783463553E-3,1.404568646E-2,3.000695944E0,3.000744765E0
2.999151250E-1,2.580154687E-2,1.388577074E-1,3.283458233E0,3.286494356E0
3.098771251E-1,-1.614963077E-2,2.682065777E-2,3.493676662E0,3.493816936E0
