"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.851791632E-3,6.508225109E-3,1.962646283E-2,5.852185423E-4,2.068568389E-2
1.181379159E-2,-2.032265998E-3,-1.051119901E-2,-3.929273225E-5,1.070593077E-2
2.177679166E-2,3.318645060E-3,5.786700174E-3,1.083072857E-3,6.758132194E-3
3.173879161E-2,-5.448027514E-4,1.163547859E-5,7.507103728E-4,9.276375834E-4
4.170179158E-2,-1.539197518E-3,-4.266118165E-3,-4.248227924E-6,4.535296158E-3
5.166379164E-2,4.232861102E-4,7.955926470E-3,-9.842915460E-4,8.027749808E-3
6.162679160E-2,-3.485641908E-3,-9.987145662E-3,6.197654875E-4,1.059607886E-2
7.158879156E-2,3.458284074E-3,5.841086153E-3,-1.341652591E-3,6.919396495E-3
8.155179163E-2,-8.450297173E-4,-5.879600532E-3,3.264984116E-5,5.940104684E-3
9.151379159E-2,3.051441396E-3,4.436952993E-3,8.315980667E-4,5.448798198E-3
1.014767917E-1,-2.311111894E-4,-2.248216420E-3,3.251653397E-4,2.283335707E-3
1.114387916E-1,1.400873763E-3,6.034963299E-4,6.577337626E-5,1.526755140E-3
1.214017916E-1,2.537688008E-3,1.636556815E-3,-7.390673272E-5,3.020536515E-3
1.313637916E-1,-1.374571584E-4,-8.809292922E-4,-7.523829117E-5,8.947578939E-4
1.413267916E-1,-3.437038977E-4,9.645018727E-4,-4.872470163E-5,1.025070889E-3
1.512887916E-1,-1.339726383E-3,-3.216128331E-3,-1.384299947E-3,3.748951128E-3
1.612517916E-1,-1.415893203E-3,3.735082923E-3,6.487932988E-4,4.046792649E-3
1.712137916E-1,-1.533870818E-3,-2.719087992E-3,-1.967229880E-3,3.690012547E-3
1.811767917E-1,-2.637486905E-4,-4.691025242E-4,-4.830311518E-4,7.231456586E-4
1.911387916E-1,-6.075627171E-4,-6.150437985E-4,5.968805635E-4,1.050560677E-3
2.011017916E-1,-1.094508683E-3,-5.308382679E-4,-1.989370212E-4,1.232604747E-3
2.110637916E-1,-5.427794531E-5,4.611890763E-4,2.010155236E-3,2.063096104E-3
2.210267916E-1,-1.063378062E-3,5.952361971E-4,-3.119313624E-4,1.257926949E-3
2.309887916E-1,5.088862963E-5,-3.158312757E-4,2.377452329E-4,3.985747647E-4
2.409517916E-1,-5.763159133E-4,-9.584194049E-5,-1.572282054E-4,6.050177006E-4
2.509147916E-1,-1.179255545E-3,-3.858399577E-5,1.268095686E-3,1.732108263E-3
2.608767917E-1,5.145142786E-4,1.342359697E-3,-5.462972913E-4,1.537886612E-3
2.708397916E-1,1.056733774E-3,1.010263572E-3,-5.947668105E-4,1.578311222E-3
2.808017916E-1,3.243899671E-3,1.957169734E-4,-5.275052972E-4,3.292332312E-3
2.907647917E-1,2.692625392E-3,3.901275340E-4,1.216865261E-3,2.980468430E-3
3.007267916E-1,6.760794204E-4,-1.842216589E-4,2.743877703E-4,7.525354814E-4
3.106897916E-1,1.090467209E-3,1.481852029E-3,9.894465329E-4,2.089020969E-3
3.206517916E-1,-6.569991820E-5,7.502243388E-4,9.368803585E-4,1.202039036E-3
3.306147916E-1,2.547659911E-3,1.175264828E-3,1.127030002E-3,3.023576535E-3
3.405767917E-1,-6.001663860E-4,-1.482144231E-3,1.176503720E-4,1.603369210E-3
3.505397916E-1,1.161514549E-3,2.771722851E-3,-6.019356661E-4,3.064945376E-3
3.605017916E-1,-1.321705990E-3,-2.245729789E-3,2.970428905E-4,2.622678685E-3
3.704647917E-1,-3.344719298E-4,8.917404339E-4,-8.513121866E-4,1.277421196E-3
3.804267916E-1,-2.177054062E-3,8.141016588E-5,-1.118118409E-3,2.448750862E-3
3.903897916E-1,-1.434830949E-3,3.005883191E-4,-6.384830922E-4,1.598985256E-3
4.003517916E-1,-1.144191250E-3,1.670936588E-3,7.496516919E-4,2.159439825E-3
4.103147916E-1,-8.594994433E-4,-2.694427967E-4,-2.660779282E-4,9.392210484E-4
4.202767916E-1,1.817154931E-3,4.879031330E-4,5.375748733E-4,1.956805625E-3
4.302397916E-1,4.650680348E-4,-1.046876656E-3,-4.762904719E-4,1.240601315E-3
4.402017916E-1,1.359357499E-3,2.719099168E-3,-1.660385169E-4,3.044490414E-3
4.501647917E-1,-1.722262241E-4,-3.122544382E-3,-3.242304083E-4,3.144053219E-3
4.601267916E-1,2.268205862E-3,4.236949608E-3,4.490384599E-4,4.826814203E-3
4.700897916E-1,-8.988252375E-4,-4.015920218E-3,-1.685486641E-4,4.118726825E-3
4.800517916E-1,2.892895136E-3,2.526781987E-3,4.614451900E-4,3.868643321E-3
4.900147916E-1,-2.416456118E-4,-3.010995453E-3,-1.030724030E-3,3.191688933E-3
4.999767916E-1,3.015104914E-3,3.182636108E-3,-1.378575573E-3,4.595704609E-3
5.099397916E-1,1.403093571E-3,-4.576386418E-4,-7.748368662E-4,1.666876379E-3
5.199017916E-1,2.827617805E-3,1.140979817E-3,7.829088718E-4,3.148047601E-3
5.298647917E-1,1.632923959E-3,2.823298564E-3,-3.196399193E-4,3.277136725E-3
5.398277916E-1,-2.878075466E-4,4.670359194E-4,-7.354442496E-4,9.175151106E-4
5.497897916E-1,7.460315246E-4,1.754199620E-4,-1.097101718E-3,1.338270294E-3
5.597527917E-1,-1.092318678E-3,-1.046184800E-3,-7.676314563E-4,1.696148809E-3
5.697147916E-1,2.009123564E-4,3.091568826E-3,-2.294066362E-4,3.106572224E-3
5.796777916E-1,-1.737690531E-3,-2.395493677E-3,-1.679647248E-4,2.964147514E-3
5.896396666E-1,1.883078367E-4,2.297528554E-3,-1.202940475E-4,2.308369111E-3
5.996026666E-1,-2.106966684E-3,-4.006497096E-3,1.148576848E-5,4.526749332E-3
6.095646666E-1,2.242774237E-3,2.557662316E-3,-1.736080507E-3,3.819116171E-3
