"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.590000561E-4,-1.001139171E-2,1.205407083E-3,-9.851059876E-4,1.013170292E-2
1.032100001E-2,-3.287176602E-3,-5.133869126E-5,3.760355758E-4,3.309013210E-3
2.028400009E-2,6.460843608E-3,-5.116930697E-4,-4.531363957E-4,6.496896376E-3
3.024600004E-2,1.429266762E-2,-9.777463274E-4,5.459878594E-6,1.432607292E-2
4.020799999E-2,2.191402577E-2,-8.150063222E-4,-1.074577915E-3,2.195548857E-2
5.017100007E-2,2.264799364E-2,7.535954937E-4,1.289044740E-4,2.266089448E-2
6.013300002E-2,2.059419826E-2,1.319953240E-3,1.883072662E-3,2.072219199E-2
7.009599998E-2,8.950059302E-3,-5.642332835E-4,-1.868522260E-3,9.160420086E-3
8.005800005E-2,-3.089607460E-3,7.613073103E-4,2.260494512E-4,3.190040977E-3
9.002100001E-2,-1.145139989E-2,3.932584077E-4,-8.866193239E-4,1.149240207E-2
9.998300008E-2,-1.797011308E-2,1.754568890E-3,-1.042950200E-3,1.808566342E-2
1.099460000E-1,-2.067402005E-2,4.641734995E-5,-1.760405721E-3,2.074888643E-2
1.199080000E-1,-2.122920565E-2,4.828281235E-4,-1.736627426E-3,2.130559012E-2
1.298710001E-1,-1.612712070E-2,-4.018740728E-4,-1.370975515E-3,1.619027791E-2
1.398330000E-1,-1.001188718E-2,4.606309813E-4,-7.383928169E-4,1.004964127E-2
1.497960000E-1,-7.550057489E-4,-1.630749437E-3,1.066282857E-4,1.800207488E-3
1.597580001E-1,6.579027046E-3,-3.322691424E-3,-1.237186836E-3,7.473587253E-3
1.697200000E-1,1.115566958E-2,-2.372475574E-3,-8.318538312E-4,1.143545298E-2
1.796830001E-1,1.117203198E-2,-1.669741701E-3,-3.338172100E-4,1.130105172E-2
1.896450000E-1,8.403941989E-3,-1.085976721E-3,3.684583353E-4,8.481824564E-3
1.996080000E-1,2.438321477E-3,1.100683818E-3,-1.620381139E-3,3.127707072E-3
2.095700001E-1,-3.588412190E-3,1.141696703E-3,4.129423760E-4,3.788231093E-3
2.195330000E-1,-8.069270290E-3,3.079078626E-3,2.113725990E-3,8.891663836E-3
2.294950000E-1,-6.528898142E-3,2.366682980E-3,3.895955160E-4,6.955536208E-3
2.394580001E-1,-5.164621398E-3,5.895020440E-4,2.902081469E-4,5.206250821E-3
2.494200000E-1,-4.350759089E-3,-6.752333138E-4,-6.038150750E-4,4.444056404E-3
